"3","в целом устраивает, но придётся переустанавливать карту...."
"5","Неплоха моделька, по всем параметрам вроде как. Взял бы еще, если бы понадобился."
"2","Не очень нравиться скорость работы навигатора. Все такие 64 мб оперативы это маловато. Динамик рипящий, холодный старт похоже при каждом запуске, всегда ловит спутники минут 15. Карта подробная к ней притензий никаких, но это заслуга навитела, а не палмана. Моя оценка твердая 2"
"1","НА солнце ничего не видно. Очень низкая контрастность у дисплея. Можно только на звук ориентироваться."
"4","Очень помогает, особенно при плохой или оганиченной видимости."
"4","Стильный навигатор, даже мой босс заценил когда на рыбалку ездили."
"5","Очень понравилось исполнение корпуса. Стильная окантовочка под металл. Никаких тебе люфтов - вообщем все работает и я доволен."
"4","Отличен внешене. Хорошо смотрится как в моей 9-ке, так и о отца в Camry"
"4","Всех с праздниками! Приобрел навигатор Palmann 50C. Хороший девайс, все работает на 5. Покупкой доволен. Вот только потерял инструкцию, может кто-нибудь подскажет, где можно найти или скачать?"
"4","Купил palmann 50C - всё работает ровно. Прошёл первый холодный старт выставил языки и всё в принципе неплохо. Банально но цена оправдывает качество!"
